id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
841420969671930932,Rental unit in Montréal · ★4.55 · 1 bedroom · 1 bed · 1 bath,178891274,Karina,,Le Plateau-Mont-Royal,45.53250173265013,-73.57471853626531,Entire home/apt,83,31,11,2023-10-04,1.56,5,124,11,305698
841564870257697955,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,163677493,Candy,,Ville-Marie,45.52159300334351,-73.55748231107087,Entire home/apt,97,31,1,2023-07-31,0.43,3,288,1,
841565093142823646,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,163677493,Candy,,Ville-Marie,45.52298326351496,-73.5578675375943,Entire home/apt,90,31,1,2023-08-25,0.67,3,256,1,
841891562783055225,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,489115411,Jeremy,,Le Plateau-Mont-Royal,45.520607194287706,-73.5918640647892,Entire home/apt,55,32,4,2023-09-08,0.75,3,179,4,311258
841903297740692351,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,486187528,Njimbong,,Verdun,45.46253965915501,-73.54513753620265,Private room,75,31,0,,,2,364,0,
841965194624356000,Condo in Montréal · ★4.38 · 1 bedroom · 2 beds · 1 bath,504310318,Joe,,Ville-Marie,45.51368997522722,-73.55791003891352,Entire home/apt,70,32,29,2023-08-28,4.39,1,184,29,311765
842050935777073381,Rental unit in Montréal · ★4.20 · 2 bedrooms · 4 beds · 2 baths,490763362,Ema,,Ville-Marie,45.491578108484156,-73.57993432349896,Entire home/apt,177,31,10,2023-08-27,1.74,2,180,10,
842176550339050767,Home in Montréal · 1 bedroom · 2 beds · 1 bath,21556023,Suhee,,Le Sud-Ouest,45.453999834174546,-73.58391510608902,Entire home/apt,97,31,2,2023-08-29,0.41,2,127,2,
842331512928156974,Rental unit in Montréal · 2 bedrooms · 3 beds · 1.5 baths,189071597,Annie,,Villeray-Saint-Michel-Parc-Extension,45.53874572749679,-73.61580867608654,Entire home/apt,109,32,2,2023-08-26,0.63,4,217,2,
842402979117011406,Hotel in Montréal · ★3.33 · 1 bedroom · 1 bed · 1 private bath,397758216,Dorion,,Ville-Marie,45.52344071174904,-73.55192181422086,Private room,112,31,3,2023-07-15,0.86,7,93,3,612500
842420904110218794,Hotel in Montréal · ★4.23 · 1 bedroom · 1 bed · 1 private bath,397758216,Dorion,,Ville-Marie,45.52312582614423,-73.55338845601635,Private room,102,31,22,2023-09-19,3.46,7,100,22,612500
842642732436090575,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,66340481,Daniel,,Ville-Marie,45.50295524038616,-73.58440017277549,Entire home/apt,71,31,0,,,31,106,0,
842677154592467247,Rental unit in Montréal · 1 bedroom · 1 bed · 1 shared bath,493537610,Michelle,,Verdun,45.466104209307424,-73.57216037212386,Private room,30,31,1,2023-08-01,0.43,2,121,1,
843001330667086695,Rental unit in Montréal · ★4.13 · 6 bedrooms · 14 beds · 2.5 baths,137015168,Marc,,Le Sud-Ouest,45.490947068920875,-73.56472843228774,Entire home/apt,759,31,8,2023-09-10,2.24,3,59,8,132215
843223052942596154,Rental unit in Montréal · ★5.0 · Studio · 1 bed · 1 bath,155439,Deasy,,Le Plateau-Mont-Royal,45.518110154572895,-73.59212648269443,Entire home/apt,133,1,25,2023-09-24,3.66,11,104,25,"315377, expires: 2024-09-06"
843376148338272310,Home in Kirkland · 3 bedrooms · 3 beds · 1.5 baths,434955825,Gabrielle,,Kirkland,45.44266409999999,-73.8733812,Entire home/apt,145,31,0,,,71,89,0,
843418995187836077,Rental unit in Montréal · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,858240,Alexandra,,Rosemont-La Petite-Patrie,45.52836,-73.60477,Private room,103,3,16,2023-09-14,2.86,1,124,16,"313158, expires: 2024-05-09T00:00:00Z"
843470521652027002,Rental unit in Montréal · 4 bedrooms · 4 beds · 2 baths,68688385,Natalie,,Ville-Marie,45.518080219822664,-73.56176571741854,Entire home/apt,1350,31,0,,,1,89,0,
843517178985462171,Loft in Montréal · 1 bedroom · 2 beds · 1 bath,504630386,The Loft Hotel,,Ville-Marie,45.5159044,-73.56687269999999,Entire home/apt,153,31,2,2023-06-09,0.48,5,0,2,"226402, expires: 2024-05-31"
843517281332852577,Loft in Montréal · ★4.22 · 2 bedrooms · 2 beds · 1 bath,504630386,The Loft Hotel,,Ville-Marie,45.5159044,-73.56687269999999,Entire home/apt,189,1,9,2023-08-26,2.18,5,0,9,"226402, expires: 2024-05-31"
843533390792089168,Loft in Montréal · 1 bedroom · 1 bed · 1 bath,504630386,The Loft Hotel,,Ville-Marie,45.5159044,-73.56687269999999,Entire home/apt,166,31,1,2023-06-04,0.23,5,0,1,"226402, expires: 2024-05-31"
843746819111969772,Condo in Montréal · ★4.87 · 1 bedroom · 1 bed · 1 bath,27066885,Luisa,,Mercier-Hochelaga-Maisonneuve,45.55087701874699,-73.54553538475281,Private room,52,31,15,2023-09-01,2.68,1,83,15,311466
844159926906261434,Rental unit in Montréal · ★4.36 · 1 bedroom · 3 beds · 1 bath,294542906,Mims,,Le Plateau-Mont-Royal,45.50598602997938,-73.57513443511188,Entire home/apt,250,31,11,2023-08-22,1.91,1,278,11,102866
844192750327169604,Rental unit in Montréal · ★4.0 · 1 bedroom · 1 bed · 1 bath,489582542,Arnaud,,Ville-Marie,45.52215,-73.55215,Entire home/apt,108,31,12,2023-08-07,1.89,1,361,12,123456
844284163663898694,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,453207575,Simon,,Ville-Marie,45.526671112974874,-73.55108547857238,Entire home/apt,177,31,0,,,9,89,0,
844286900537039914,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,453207575,Simon,,Ville-Marie,45.52661199410513,-73.55097955006609,Entire home/apt,195,31,0,,,9,89,0,
844290539849247560,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,453207575,Simon,,Ville-Marie,45.52462,-73.55001,Entire home/apt,211,31,0,,,9,89,0,
844914396937296695,Condo in Montréal · ★4.70 · 1 bedroom · 2 beds · 1 bath,504808541,Aaron,,Ville-Marie,45.50401,-73.55823,Entire home/apt,125,1,10,2023-09-19,1.73,1,49,10,"318801, expires: 2024-08-06"
844995929891034285,Rental unit in Montreal · 2 bedrooms · 2 beds · 1 bath,4939177,Maxence,,Outremont,45.518840626709874,-73.59881234975306,Entire home/apt,200,45,0,,,1,199,0,
